,Lost,Confusee,Spurious,contribution_to_overall_error,char_occurance,total_detected_chars,contribution_to_detection_error
o,13.606132989644362,43.3390384237352,18.419487321111355,0.03746634247657188,574.0,643244.0,0.03435710243702234
v,8.320507358500725,11.242931013784,32.58479302355401,0.010694814755859762,112.0,402064.0,0.00945123164471328
|,47.50730555817434,49.644699659171174,24.2594212985939,0.04103683176347336,290.0,621393.0,0.036852684211119216
~,0.0,0.0,2350.718911571878,0.08095250786205427,0.0,300176.0,0.0
ँ,29.073935908059052,11.46513785564914,5.280109963237191,0.08101406859321915,803.0,509788.0,0.0723830298084694
ं,5.8926284634973936,2.1596289606415517,2.1925484611957957,0.25785888112791727,15047.0,696505.0,0.20358791394175205
ः,10.02059314120153,6.480774972174139,7.819828565648724,0.010364351369278879,276.0,675392.0,0.007551170283331753
अ,2.9998738848700435,3.45382611815071,1.608709082183727,0.07067604800225244,6281.0,696134.0,0.05645464809936018
आ,4.3477120966192935,2.676787884229198,2.0796369849042753,0.028140501503937515,2511.0,696505.0,0.021679672077013087
इ,3.382739253665258,4.138103551031673,0.9957381395380238,0.017848378028646646,1910.0,694741.0,0.014537791781397674
ई,4.358024295221233,3.90152993919167,2.2351601428532386,0.018800417658509216,1650.0,691474.0,0.015329571321553666
उ,3.328657010045197,3.699570010051983,1.2794495857914796,0.03639627923570691,3389.0,695126.0,0.029634915108915506
ऊ,2.183321278270555,7.533741814361572,0.16881079590346876,0.004052465925515676,124.0,518203.0,0.003859491357633977
ऋ,23.917791123937292,0.0,0.0,0.002228486746075078,5.0,89747.0,0.002228486746075078
ए,3.6577191753164087,2.805605463338833,2.14576444613691,0.058578186804114835,4033.0,696505.0,0.04536937997573599
ऐ,1.1179489955857558,2.732580434116013,0.6593456639567922,0.0014638502188456077,286.0,614817.0,0.0013012001945294292
ऑ,0.4630769897210894,36.00893838812561,0.6693771801171255,0.005156989060994804,71.0,484779.0,0.004950709498555012
ओ,3.092128355194781,6.030930487239333,2.722936284709394,0.007070503015785981,536.0,693020.0,0.005338951256817985
औ,2.285870980539158,4.728125336996032,1.7120356018151344,0.014213824739233745,1647.0,696505.0,0.011342344993933998
क,3.0694067597391066,2.3647672173924135,1.443685255264873,0.34859764107938923,37651.0,696505.0,0.27106768795629604
ख,3.6734960053246417,3.1411308513253777,1.6895012824797897,0.04689281025004689,2831.0,693070.0,0.038812818330038815
ग,3.7212191506507835,3.2170191668511974,1.844886595724709,0.07207414160702365,6704.0,696505.0,0.05613742902061005
घ,4.701604795088394,4.015702550167184,1.8045868784312493,0.011416877902994112,1125.0,691958.0,0.008237494183172966
च,4.207278349190421,2.857148196702535,1.8634786387655626,0.0521173573771904,4139.0,696505.0,0.04120573434505136
छ,3.4261664610884424,4.190806288753896,1.9557655694201568,0.004632330482037415,662.0,690797.0,0.0033294875339643917
ज,4.007495685631773,2.69552728079724,1.784295286633419,0.10265540089446593,8249.0,696505.0,0.07982713691933296
झ,3.559643543966561,7.054043126460534,1.5141417287026888,0.003101659092218233,360.0,677057.0,0.0023631688321662726
ञ,2.7684984103692836,6.3773587674247985,5.823791102514506,0.0024944974321349962,100.0,681500.0,0.0019075568598679383
ट,4.147992300282844,4.032580442208032,1.9872385788972207,0.0521173573771904,4219.0,696505.0,0.042067178268641287
ठ,4.413616836065825,3.4476941596996276,1.9155534028497507,0.009938570862741029,545.0,684203.0,0.008038549962511125
ड,4.7120041348251105,3.6996010238543495,3.24954588160741,0.04083410855834029,2596.0,695497.0,0.030769363491143745
ण,4.072119432944288,2.547162147942422,2.3270089811204238,0.03876497656154658,2815.0,696505.0,0.029863389351117365
त,3.433797596779195,2.3722103950690423,2.0315383294326015,0.22727762184047492,18950.0,696505.0,0.17056589687080495
थ,2.857302332808271,2.6189482233586956,1.3413644453559506,0.04941577339994886,5524.0,696134.0,0.03907293710693631
द,3.838643936231803,2.6915285013891963,1.9337221417583392,0.14012821157062763,10857.0,696505.0,0.10610117658882565
ध,4.19747611661909,3.1938751077325676,2.005105424647428,0.06521732884760692,4561.0,696134.0,0.052719734993550094
न,3.878135552499598,2.322870978060794,1.8285347018969729,0.2650375804911666,23054.0,696505.0,0.20330076596722207
प,3.1401577928317064,3.0820021442754655,1.726151307895245,0.18750762736807347,15166.0,696505.0,0.14673261498481704
फ,4.9380969600176305,2.456004090702061,1.382089746970167,0.009302704179821273,1166.0,687972.0,0.007267737640485369
ब,4.011186331144501,2.887288817451725,1.613614219511672,0.06704905205274908,6275.0,696505.0,0.053409523262575295
भ,3.19065969400422,3.011241556973877,1.5365803709532677,0.04479508402667605,4658.0,696505.0,0.03503205289265691
म,3.6809613030811303,2.7915131585485162,1.5330279574906762,0.18320040775012383,17323.0,696505.0,0.1484555028319969
य,4.0357060445274175,2.222051249067874,2.0825841896724038,0.1800417800302941,17717.0,696505.0,0.13366738214370322
र,4.073996740591172,2.17168944425872,2.3852607910120716,0.4597239072224894,33837.0,696505.0,0.3437161255123797
ल,3.8658373671946937,2.4397969890707256,1.6004928415727246,0.11514633778651985,10507.0,696505.0,0.09217449982412187
ळ,12.310862525758022,38.7834854283191,34.098469237562554,0.0029437739181630853,4.0,135880.0,0.002207830438622314
व,3.5156885549378987,2.701291848008538,1.4980010083069384,0.15419846232259637,13339.0,696505.0,0.12347362904788911
श,4.0871912695689865,4.0004371750581615,2.0685758073909004,0.09064346806792946,5017.0,696134.0,0.074985563124341
